“天津海盛昊海洋工程有限公司” “渤海26咱”
“安徽农业大学” “尚客小吃”
“安徽农业大学” “爱丽丝蛋糕(农大学新区UU店)”
“安徽农业大学” “安徽农业大学体育场”
“安徽农业大学” “鳄鱼网咖(霍山路)”
“安徽农业大学” “名园快捷宾馆B区”
“安徽农业大学” “瑶瑶果园(安农大店)”
“安徽农业大学” “中国联通”
“安徽农业大学” “安农大-后勤超市”
“安徽农业大学” “不理不彩(官亭路)”
“安徽农业大学” “1928年”
“安徽农业大学” “合肥”
“安徽农业大学” “程备久”
“安徽农业大学” “李家洋”
“安徽农业大学” “团结、勤奋、求实、创新”
“安徽农业大学” “10月20日（公历）”
“北京市顺义区旺泉街道石门苑北京市顺义区第二中学石门街10号” “褔成自助烤肉(顺义国泰店)”
“北京市顺义区旺泉街道石门苑北京市顺义区第二中学石门街10号” “威华跆拳道搏击俱乐部”
“北京市顺义区旺泉街道石门苑北京市顺义区第二中学石门街10号” “石门苑”
“北京市顺义区旺泉街道石门苑北京市顺义区第二中学石门街10号” “北京博医阁门诊(石门街)”
“北京市顺义区旺泉街道石门苑北京市顺义区第二中学石门街10号” “石门市场香蕉经营C区”
“北京市顺义区旺泉街道石门苑北京市顺义区第二中学石门街10号” “博大教育”
“北京市顺义区旺泉街道石门苑北京市顺义区第二中学石门街10号” “石门小区东门(公交站)”
“北京市顺义区旺泉街道石门苑北京市顺义区第二中学石门街10号” “阳光幼儿园”
“北京市顺义区旺泉街道石门苑北京市顺义区第二中学石门街10号” “北京市顺义区第二中学”
“北京市顺义区旺泉街道石门苑北京市顺义区第二中学石门街10号” “全兴超市(宏城社区店)”
“北京市顺义区旺泉街道石门苑北京市顺义区第二中学石门街10号” “华蒸天下能量汗蒸馆(顺义石门苑店)”
“北京市顺义区旺泉街道石门苑北京市顺义区第二中学石门街10号” “CLB社区生活管家”
“安徽省宿州市砀山县周寨镇孙集村” “灿义超市”
“安徽省宿州市砀山县周寨镇孙集村” “锦江超市”
“安徽省宿州市砀山县周寨镇孙集村” “孙集小学”
“尚客小吃” “安徽农业大学体育场”
“尚客小吃” “鳄鱼网咖(霍山路)”
“安徽农业大学体育场” “鳄鱼网咖(霍山路)”
“名园快捷宾馆B区” “瑶瑶果园(安农大店)”
“中国联通” “不理不彩(官亭路)”
“褔成自助烤肉(顺义国泰店)” “全兴超市(宏城社区店)”
“威华跆拳道搏击俱乐部” “博大教育”
“石门苑” “阳光幼儿园”
“博大教育” “华蒸天下能量汗蒸馆(顺义石门苑店)”
“灿义超市” “锦江超市”
