“上海长和纺织品有限公司” “夏家埭路新松公路(公交站)”
“烟台大学” “WIFI夜猫店(烟大北校9号店)”
“烟台大学” “忆果时光”
“烟台大学” “名将精剪烫染”
“烟台大学” “烟大七餐浴池”
“烟台大学” “龙雨花坊鲜花店(烟台大学店)”
“烟台大学” “体育公园羽毛球馆”
“烟台大学” “烟台大学图书馆”
“烟台大学” “东江医药(大学店)”
“烟台大学” “品胜当日达(烟台大学门店)”
“烟台大学” “烟大书店”
“烟台大学” “1984年”
“烟台大学” “烟台”
“烟台大学” “郭善利”
“烟台大学” “赵燮”
“烟台大学” “守信 求实 好学 力行”
“北京市朝阳区八里庄街道云南过桥米线(慈云寺店)慈云寺北里八里庄路303号” “饺子堂”
“北京市朝阳区八里庄街道云南过桥米线(慈云寺店)慈云寺北里八里庄路303号” “麦香屋面包房(四惠店)”
“山东省潍坊市坊子区黄旗堡街道潍坊市坊子区黄旗堡初级中学商业街b区” “幸福楼大酒店(一马路)”
“山东省潍坊市坊子区黄旗堡街道潍坊市坊子区黄旗堡初级中学商业街b区” “牡丹美容美发”
“山东省潍坊市坊子区黄旗堡街道潍坊市坊子区黄旗堡初级中学商业街b区” “青春美发洗浴中心”
“山东省潍坊市坊子区黄旗堡街道潍坊市坊子区黄旗堡初级中学商业街b区” “力诺瑞特太阳能”
“山东省潍坊市坊子区黄旗堡街道潍坊市坊子区黄旗堡初级中学商业街b区” “科达通讯(商业街)”
“山东省潍坊市坊子区黄旗堡街道潍坊市坊子区黄旗堡初级中学商业街b区” “干鲜果超市”
“山东省潍坊市坊子区黄旗堡街道潍坊市坊子区黄旗堡初级中学商业街b区” “中华平衡断痔疗法定点门诊”
“山东省潍坊市坊子区黄旗堡街道潍坊市坊子区黄旗堡初级中学商业街b区” “万家福糕点”
“山东省潍坊市坊子区黄旗堡街道潍坊市坊子区黄旗堡初级中学商业街b区” “中国农业银行(黄旗堡分理处)”
“忆果时光” “烟大书店”
“烟大七餐浴池” “东江医药(大学店)”
“烟大七餐浴池” “品胜当日达(烟台大学门店)”
“龙雨花坊鲜花店(烟台大学店)” “烟台大学图书馆”
“东江医药(大学店)” “品胜当日达(烟台大学门店)”
“幸福楼大酒店(一马路)” “牡丹美容美发”
“幸福楼大酒店(一马路)” “青春美发洗浴中心”
“幸福楼大酒店(一马路)” “干鲜果超市”
“牡丹美容美发” “青春美发洗浴中心”
“牡丹美容美发” “科达通讯(商业街)”
“牡丹美容美发” “干鲜果超市”
“青春美发洗浴中心” “干鲜果超市”
“中华平衡断痔疗法定点门诊” “万家福糕点”
