“浙江兴南林业发展有限公司” “龙泉市查田镇下圩卫生室”
“清华大学美术学院” “卡露丝国际洗衣(康平西路)”
“清华大学美术学院” “清夫园(锦华北街)”
“清华大学美术学院” “舒康推拿中心”
“清华大学美术学院” “山味煎包(锦华北街)”
“清华大学美术学院” “正德电脑(锦岚街)”
“清华大学美术学院” “1956年”
“清华大学美术学院” “北京”
“清华大学美术学院” “庞薰琹”
“北京市海淀区清华园街道清华大学紫荆学生公寓10号楼清华大学紫荆学生公寓紫荆路1819号楼” “清华大学小商亭”
“北京市海淀区清华园街道清华大学紫荆学生公寓10号楼清华大学紫荆学生公寓紫荆路1819号楼” “北京润泽嘉业大酒店-按摩室”
“北京市海淀区清华园街道清华大学紫荆学生公寓10号楼清华大学紫荆学生公寓紫荆路1819号楼” “西点工坊”
“北京市海淀区清华园街道清华大学紫荆学生公寓10号楼清华大学紫荆学生公寓紫荆路1819号楼” “北京润泽嘉业大酒店A座”
“北京市海淀区清华园街道清华大学紫荆学生公寓10号楼清华大学紫荆学生公寓紫荆路1819号楼” “千度造型烫染店”
“北京市海淀区清华园街道清华大学紫荆学生公寓10号楼清华大学紫荆学生公寓紫荆路1819号楼” “清华大学苏世民书院”
“北京市海淀区清华园街道清华大学紫荆学生公寓10号楼清华大学紫荆学生公寓紫荆路1819号楼” “清泉学生洗衣房”
“北京市海淀区清华园街道清华大学紫荆学生公寓10号楼清华大学紫荆学生公寓紫荆路1819号楼” “润泽食府”
“北京市海淀区清华园街道清华大学紫荆学生公寓10号楼清华大学紫荆学生公寓紫荆路1819号楼” “清华大学紫荆篮球场”
“北京市海淀区清华园街道清华大学紫荆学生公寓10号楼清华大学紫荆学生公寓紫荆路1819号楼” “清风湛影超市(清华大学紫荆学生公寓西南)”
“山东省德州市德城区新华街道东风中路东风东路16号” “大城小爱”
“山东省德州市德城区新华街道东风中路东风东路16号” “OPPO”
“山东省德州市德城区新华街道东风中路东风东路16号” “海河超市(文化路)”
“山东省德州市德城区新华街道东风中路东风东路16号” “电业局宿舍(公交站)”
“山东省德州市德城区新华街道东风中路东风东路16号” “艺智书画培训”
“山东省德州市德城区新华街道东风中路东风东路16号” “三易大药房(文化路店)”
“山东省德州市德城区新华街道东风中路东风东路16号” “默罕迪植物染发店”
“山东省德州市德城区新华街道东风中路东风东路16号” “宝魁办公家具批发”
“山东省德州市德城区新华街道东风中路东风东路16号” “洁丰干洗(德兴中大道)”
“清夫园(锦华北街)” “山味煎包(锦华北街)”
“北京润泽嘉业大酒店-按摩室” “北京润泽嘉业大酒店A座”
“北京润泽嘉业大酒店-按摩室” “润泽食府”
“北京润泽嘉业大酒店A座” “润泽食府”
“千度造型烫染店” “清泉学生洗衣房”
“OPPO” “海河超市(文化路)”
“OPPO” “三易大药房(文化路店)”
“OPPO” “默罕迪植物染发店”
“海河超市(文化路)” “三易大药房(文化路店)”
“海河超市(文化路)” “默罕迪植物染发店”
“艺智书画培训” “洁丰干洗(德兴中大道)”
“三易大药房(文化路店)” “默罕迪植物染发店”
