“北京科技大学计算机与通信工程学院” “北京小熊之家科技大学青年公寓”
“北京科技大学计算机与通信工程学院” “北京寒竹梅鲜花店”
“北京科技大学计算机与通信工程学院” “田记小吃(科大店)”
“北京科技大学计算机与通信工程学院” “北京科技大学篮球场”
“北京科技大学计算机与通信工程学院” “利菲蛋糕(志新路店)”
“北京科技大学计算机与通信工程学院” “圣佳服装干洗部”
“北京科技大学计算机与通信工程学院” “1973年”
“北京科技大学计算机与通信工程学院” “邬贺铨”
“北京市丰台区新村街道三环新城4号院丰桥路7号院育芳园北路2号院” “铁锅柴(分钟寺)”
“新疆维吾尔自治区伊犁哈萨克自治州察布查尔锡伯自治县察布查尔镇新疆伊犁锡伯民族歌舞团查鲁盖路西街122号” “庞在璧中医诊所”
“新疆维吾尔自治区伊犁哈萨克自治州察布查尔锡伯自治县察布查尔镇新疆伊犁锡伯民族歌舞团查鲁盖路西街122号” “银春商店”
“新疆维吾尔自治区伊犁哈萨克自治州察布查尔锡伯自治县察布查尔镇新疆伊犁锡伯民族歌舞团查鲁盖路西街122号” “宏翔电脑科技”
“新疆维吾尔自治区伊犁哈萨克自治州察布查尔锡伯自治县察布查尔镇新疆伊犁锡伯民族歌舞团查鲁盖路西街122号” “宏伟商店(查鲁盖路西街)”
“新疆维吾尔自治区伊犁哈萨克自治州察布查尔锡伯自治县察布查尔镇新疆伊犁锡伯民族歌舞团查鲁盖路西街122号” “爱家灯饰城”
“新疆维吾尔自治区伊犁哈萨克自治州察布查尔锡伯自治县察布查尔镇新疆伊犁锡伯民族歌舞团查鲁盖路西街122号” “小黄水果粮油店”
“新疆维吾尔自治区伊犁哈萨克自治州察布查尔锡伯自治县察布查尔镇新疆伊犁锡伯民族歌舞团查鲁盖路西街122号” “舒兴干洗店(查鲁盖路西街)”
“新疆维吾尔自治区伊犁哈萨克自治州察布查尔锡伯自治县察布查尔镇新疆伊犁锡伯民族歌舞团查鲁盖路西街122号” “纤纤美指”
“新疆维吾尔自治区伊犁哈萨克自治州察布查尔锡伯自治县察布查尔镇新疆伊犁锡伯民族歌舞团查鲁盖路西街122号” “马努海早餐店”
“新疆维吾尔自治区伊犁哈萨克自治州察布查尔锡伯自治县察布查尔镇新疆伊犁锡伯民族歌舞团查鲁盖路西街122号” “雪贝尔西饼屋”
“新疆维吾尔自治区伊犁哈萨克自治州察布查尔锡伯自治县察布查尔镇新疆伊犁锡伯民族歌舞团查鲁盖路西街122号” “察布查尔锡伯自治县农村信用社”
“利菲蛋糕(志新路店)” “圣佳服装干洗部”
“庞在璧中医诊所” “宏伟商店(查鲁盖路西街)”
“庞在璧中医诊所” “马努海早餐店”
“庞在璧中医诊所” “雪贝尔西饼屋”
“庞在璧中医诊所” “察布查尔锡伯自治县农村信用社”
“银春商店” “宏翔电脑科技”
“银春商店” “宏伟商店(查鲁盖路西街)”
“银春商店” “纤纤美指”
“宏翔电脑科技” “宏伟商店(查鲁盖路西街)”
“宏翔电脑科技” “纤纤美指”
“宏伟商店(查鲁盖路西街)” “纤纤美指”
“宏伟商店(查鲁盖路西街)” “马努海早餐店”
“爱家灯饰城” “舒兴干洗店(查鲁盖路西街)”
“舒兴干洗店(查鲁盖路西街)” “察布查尔锡伯自治县农村信用社”
“马努海早餐店” “雪贝尔西饼屋”
“雪贝尔西饼屋” “察布查尔锡伯自治县农村信用社”
