“喀什永成农机有限公司” “喀什地区技工学校电焊、钳工实训基地”
“喀什永成农机有限公司” “香逸四季”
“南开大学” “广东电视台餐厅”
“南开大学” “纯爱西饼屋(新粤新店)”
“南开大学” “保利国际影城(中环店)”
“南开大学” “中环广场南区游乐场”
“南开大学” “丝域养发馆(建设二路店)”
“南开大学” “水圣堂(建设新村店)”
“南开大学” “施柏丽洗衣代理点(建设二马路店)”
“南开大学” “允公允能，日新月异”
“南开大学” “龚克”
“南开大学” “周恩来”
“南开大学” “天津”
“北京市海淀区清华园街道清华大学西北小区2号楼清华大学西北社区中关村北大街101号” “清华北区便利店”
“北京市海淀区清华园街道清华大学西北小区2号楼清华大学西北社区中关村北大街101号” “My-campus(清华大学校园体验中心)”
“北京市海淀区清华园街道清华大学西北小区2号楼清华大学西北社区中关村北大街101号” “清华大学学生超市”
“北京市海淀区清华园街道清华大学西北小区2号楼清华大学西北社区中关村北大街101号” “清华大学荷清苑教工食堂”
“北京市海淀区清华园街道清华大学西北小区2号楼清华大学西北社区中关村北大街101号” “挂甲屯社区”
“北京市海淀区清华园街道清华大学西北小区2号楼清华大学西北社区中关村北大街101号” “唯美专业美发染烫店”
“北京市海淀区清华园街道清华大学西北小区2号楼清华大学西北社区中关村北大街101号” “足疗保健(荷清路)”
“北京市海淀区清华园街道清华大学西北小区2号楼清华大学西北社区中关村北大街101号” “八家路(公交站)”
“北京市海淀区清华园街道清华大学西北小区2号楼清华大学西北社区中关村北大街101号” “西点工坊”
“北京市海淀区清华园街道清华大学西北小区2号楼清华大学西北社区中关村北大街101号” “恒协干洗店(清华大学店)”
“北京市海淀区清华园街道清华大学西北小区2号楼清华大学西北社区中关村北大街101号” “同仁堂(中关村北大街药店)”
“天津市和平区小白楼街道三德里(营口道)新华路201号” “天津市第十一中学”
“天津市和平区小白楼街道三德里(营口道)新华路201号” “阳光宝贝幼稚园(营口道)”
“天津市和平区小白楼街道三德里(营口道)新华路201号” “河北路医院便民药店”
“天津市和平区小白楼街道三德里(营口道)新华路201号” “天津市和平区妇产科医院门诊”
“天津市和平区小白楼街道三德里(营口道)新华路201号” “唐潮造型(保定道)”
“保利国际影城(中环店)” “中环广场南区游乐场”
“丝域养发馆(建设二路店)” “水圣堂(建设新村店)”
“丝域养发馆(建设二路店)” “施柏丽洗衣代理点(建设二马路店)”
“水圣堂(建设新村店)” “施柏丽洗衣代理点(建设二马路店)”
“清华北区便利店” “清华大学荷清苑教工食堂”
“清华北区便利店” “恒协干洗店(清华大学店)”
“My-campus(清华大学校园体验中心)” “唯美专业美发染烫店”
“清华大学荷清苑教工食堂” “恒协干洗店(清华大学店)”
“挂甲屯社区” “八家路(公交站)”
“足疗保健(荷清路)” “西点工坊”
