“宏大恒温食品有限公司” “安骏门业”
“北京工业大学” “潮粥圆餐厅”
“北京工业大学” “味多美(松榆东里店)”
“北京工业大学” “工大建国饭店(西门)”
“北京工业大学” “1960年”
“北京工业大学” “北京”
“北京工业大学” “柳贡慧”
“北京工业大学” “张榕明”
“北京工业大学” “不息为体，日新为道”
“北京市海淀区学院路街道建清园小区建清园北区月泉路94号” “凯吉利鲜花连锁店(学院路店)”
“北京市海淀区学院路街道建清园小区建清园北区月泉路94号” “馨怡宾馆”
“北京市海淀区学院路街道建清园小区建清园北区月泉路94号” “c世纪华联(逸成店)”
“北京市海淀区学院路街道建清园小区建清园北区月泉路94号” “快餐&过桥米线”
“北京市海淀区学院路街道建清园小区建清园北区月泉路94号” “蓝谷优果”
“北京市海淀区学院路街道建清园小区建清园北区月泉路94号” “漫威网咖(月泉路)”
“北京市海淀区学院路街道建清园小区建清园北区月泉路94号” “逸成东苑”
“北京市海淀区学院路街道建清园小区建清园北区月泉路94号” “科林口腔(银泉路)”
“北京市海淀区学院路街道建清园小区建清园北区月泉路94号” “进巍美甲”
“北京市海淀区海淀街道颐和园路北京大学海淀路171号” “OPPO”
“北京市海淀区海淀街道颐和园路北京大学海淀路171号” “树人”
“北京市海淀区海淀街道颐和园路北京大学海淀路171号” “中关村文化商厦”
“北京市海淀区海淀街道颐和园路北京大学海淀路171号” “鲜花坊(芙蓉南街)”
“北京市海淀区海淀街道颐和园路北京大学海淀路171号” “许鲜水果店(北京大学店)”
“北京市海淀区海淀街道颐和园路北京大学海淀路171号” “博实超市(燕南园东南)”
“北京市海淀区海淀街道颐和园路北京大学海淀路171号” “海洋馆旅馆”
“北京市海淀区海淀街道颐和园路北京大学海淀路171号” “小图超市”
“味多美(松榆东里店)” “工大建国饭店(西门)”
“馨怡宾馆” “蓝谷优果”
“c世纪华联(逸成店)” “进巍美甲”
“树人” “中关村文化商厦”
“鲜花坊(芙蓉南街)” “许鲜水果店(北京大学店)”
