“劲普自动化” “桂花路香樟路(公交站)”
“北京邮电大学” “联邦超市(师大北路)”
“北京邮电大学” “叙缘快捷酒店(北京师大华尔店)”
“北京邮电大学” “外贸衣柜”
“北京邮电大学” “绿韵花艺(新街口店)”
“北京邮电大学” “北京慧慧谷科技发展中心”
“北京邮电大学” “兰蕙餐厅”
“北京邮电大学” “芳草地蛋糕(北邮南门店)”
“北京邮电大学” “北京师范大学足球场”
“北京邮电大学” “厚德、博学、敬业、乐群”
“北京邮电大学” “1955年”
“北京邮电大学” “北京”
“北京邮电大学” “乔建永”
“北京邮电大学” “唐骏”
“北京市海淀区北太平庄街道太月园2区太月园南区知春路8号” “五金百货床上用品”
“北京市海淀区北太平庄街道太月园2区太月园南区知春路8号” “7天酒店(蓟门桥店)”
“北京市海淀区北太平庄街道太月园2区太月园南区知春路8号” “乐品课栈(学院路店)”
“北京市海淀区北太平庄街道太月园2区太月园南区知春路8号” “和永祥网咖”
“北京市海淀区北太平庄街道太月园2区太月园南区知春路8号” “陈太私房烘焙(知春路店)”
“北京市西城区德胜街道新风南里7号楼新风南里新风街3-4号” “新雪鑫旅馆”
“北京市西城区德胜街道新风南里7号楼新风南里新风街3-4号” “世纪华联超市(五路通北街)”
“北京市西城区德胜街道新风南里7号楼新风南里新风街3-4号” “好邻居便利店(德外店)”
“北京市西城区德胜街道新风南里7号楼新风南里新风街3-4号” “长京家紫菜包饭”
“北京市西城区德胜街道新风南里7号楼新风南里新风街3-4号” “桂香园生日蛋糕店”
“联邦超市(师大北路)” “叙缘快捷酒店(北京师大华尔店)”
“联邦超市(师大北路)” “外贸衣柜”
“叙缘快捷酒店(北京师大华尔店)” “外贸衣柜”
“五金百货床上用品” “7天酒店(蓟门桥店)”
“世纪华联超市(五路通北街)” “长京家紫菜包饭”
